id,place_name,city,description,image_url,time,distance,price,age,lung,motion,sight,r_r,a_r,h_r,m_r,n_r,s_r,c_r,e_r
3377,Laxman Temple ,Bharatpur," There are two Laxman Temples in the heart of the city, one of them is almost 4 centuries old which is . The other, about 300 years old was made by the founder of Bharatpur, Maharaja Baldev Singh. ",https://www.holidify.com/images/attr_square/1349.jpg,2.7,5.5,1900,-1,1,0,0,4,3.1,6.1,3.2,9,7.7,2,3
3378,Government Museum ,Bharatpur," Located in the premises of Lohagarh Fort in Gopalgarh, Bharatpur, Government Museum was established in 1944 AD. Among the many antiques and valuable exhibits, the most prominent ones are stone sculptures, wooden carvings, inscriptions, terracotta products etc. The museum has a separate gallery with paintings on peepal leaves, mica and lithopapers. ",https://www.holidify.com/images/cmsuploads/square/437771842_325b6b387f_o_20190325130108_20190325130131.gif,5.3,6.6,2800,1,1,0,1,4.9,5.7,9.4,1.7,6,8.8,7.6,5.6
3379,Brij Festival ,Bharatpur," Brij festival or brij mahotsav is a popularly celebrated festival in the Brij region of Bharatpur, three days before Holi celebrations. Celebrated in the month of march, the pump and vigor of this occasion is for the devotion of Lord Krishna. The true essence of the city can be observed during this time as people of all ethnic cultures come together to celebrate the eternal devotion in Lord Krishna. The most unique feature of this festival is the Rasila dance. Durange that auspicious day, people take a dip in the holy water of Banganga river which is believed to be a very process of purification.  ",https://www.holidify.com/images/cmsuploads/thumbnail/brij3_20171201160527.jpg,5.8,1.8,2500,1,1,1,1,8.4,2.7,5.7,4.2,5.7,9.1,1.8,2.2
3380,"Deeg, Bharatpur ",Bharatpur," Located at a distance of around 32 kms from Bharatpur in Rajasthan, Deeg is a tiny town dotted with majestic fortifications, splendid palaces, pretty gardens and beautiful fountains. Once the summer capital of the rulers of Bharatpur, Deeg is now popular for its historical opulence, religious significance and annual fairs and festivals. ",https://www.holidify.com/images/cmsuploads/square/514373830_e4255ba5e9_b_20190116144726.jpg,4.3,3.2,3400,-1,0,0,0,5,8.9,7.6,9.5,7.2,8.3,6.6,6.4
3381,Dholpur Palace ,Bharatpur," Dholpur Palace, better known as Raj Niwas Palace, is a magnificent heritage palace of the 19th century. Lately converted into a heritage hotel, the regal palace has a total of 40 rooms segregated in three different categories depending on the needs of the guests. Surrounded by beautiful peacock gardens, the palace is an ideal weekend getaway destination. ",https://www.holidify.com/images/cmsuploads/square/31178415807_48a4dbc95d_z1_20190325133439_20190325133502.jpg,4.7,6.4,2300,1,1,1,0,7,7,5.4,8.4,6.3,2.2,6.7,7.7
3382,Band Baretha ,Bharatpur," Constructed by Raja Ram Singh, Band Baretha is a tiny village 44 kms from Bharatpur. Formerly known as Shreepast and Shri Prasastha, the highlight of Band Baretha is the namesake dam which is built on the Kukand river. The dam is the largest of its kind in all of Bharatpur and provides drinking water to Bharatpur and several adjoining villages. ",https://www.holidify.com/images/cmsuploads/square/640px-Bandh_Baretha_20190208101350.jpg,2.1,8,1100,1,0,0,1,8.3,5.8,8,4.6,8.2,4,4.5,3.7
3383,Karna Lake ,Karnal," Karna Lake is a popular tourist attraction located in the Karnal district of Haryana. Also called Karna Tal, the lake is spectacular to see during sunset. The lake, as well as the district, are named after the famous character from Mahabharata, Karna. Karna Lake is a human-made lake and has a beautifully landscaped Karna Lake Tourist Complex adjacent to it. The boating attractions at Karna Lake is a hit among the visitors. Most people often opt for a peaceful picnic in the lawns beside the lake. The lakeside garden also has swings and other rides for children. The lake is also a favourite hangout spot among highway travellers. The Karna Lake Tourist Complex offers a wide variety of accommodation facilities.  ",https://www.holidify.com/images/cmsuploads/square/Karna_lake_02_20190313145432.jpg,3,5.1,3100,-1,0,0,1,5.3,4.8,7.2,5.3,5.1,1.9,8,4.5
3384,Babur's Masjid ,Karnal," Baburâ€™s Masjid is an architectural marvel that is a must-visit in Karnal. Built-in 1528 by the Mughal emperor Babur to commemorate his victory over Ibrahim Lodhi, this mosque stands testament to the prowess of the legendary king. The walled mosque was home to a stunning garden too. At its peak, the mosque boasted of three octagonal towers and domes in addition to the central dome, but only one remains now. The resident well is still replenished by cold water, although the outer structure is in ruins. This site is a perfect history lesson and photo op combined! ",https://www.holidify.com/images/cmsuploads/square/kabuli_bagh_mosque_5_20190313150106.jpg,4,1.2,1100,0,1,1,0,7.3,8.4,8,6,5.6,9.1,7.4,8.4
3385,Kalander Shahs tomb ,Karnal," This magnificent marble creation houses fountains, gardens and a serene tomb. Built by Ghiyas-ud-din, the Emperor of Delhi, the Dargah holds the memory of the Muslim sage Bo-Ali-Qalandar Shah. This Sufi sage is said to have been acclaimed far and wide, and is famous for conjuring up a cow that ate a tiger! Emperor Alamgir also added to the construction. The Persian and Mughal influences are obvious in the architecture, adding to the charm of the locale. A mosque is also built in the vicinity that you can visit. ",https://www.holidify.com/images/cmsuploads/square/photo-92-145738-3_20190313150440.jpeg,4.7,2,3000,1,1,1,0,5.9,6.8,2.8,9.2,5.5,4,3.9,7.9
3386,Gurudwara Manji Sahib ,Karnal," The Gurudwara Manji Sahib is one of the top attractions in the Karnal district of Haryana. It is a place of great historical and religious significance. It is associated with the Guru Nanak Dev Ji, the first Guru. A vast number of devotees visit this gurudwara to seek the blessings of Waheguru. It is known as the best gurudwara in Karnal and is famous for its celebrations during all Sikh festivals. The Gurudwara Manji Sahib also provides food and shelter to people from all religions and creeds.  ",https://www.holidify.com/images/cmsuploads/square/maxresdefault_20190313150907.jpg,3.3,9.4,3600,-1,1,0,1,5.5,7.2,6,5.1,5.2,2.4,4.1,9.4
3387,Durga Bhavani temple ,Karnal," The Durga Bhavani temple is serene and tranquil, and houses the powerful embodiment of female cosmic power or Shakti. The Navratri festival in the temple is especially popular â€“ for nine nights in September/October, the Mother Goddess is said to descend upon earth and fight evil forces. On the tenth day, she finally vanquishes evil demons. This event is celebrated as Dussehra, marked by large processions of the deity on the roads, and tall statues of the goddess. Donâ€™t forget to shop for handicrafts and local delicacies in the nearby markets! Metal jewellery and other trinkets are especially favourite here. ",https://www.holidify.com/images/cmsuploads/square/sdksf_20190313151304.jpg,4.8,8.9,3600,0,0,0,0,9.4,8,5.5,5.6,4.9,4.6,2.4,2
3388,Sita Mai Temple ,Karnal," The Sita Mai temple is the only abode to Goddess Sita in the whole country. The intricate architecture catches the eye and makes you marvel at the elaborate carvings on the bricks. The distinct style of construction makes it clear that the bricks were carved before burning them on the kiln, making it a characteristic style of the region. The temple is dedicated to the divine consort of the Hindu God Ram and is the only temple to the Lady in the entire country. The style is Nepali, and the rituals are ancient as well. Local lore has it that the temple marks the exact spot where Mother Earth is said to have taken Lady Sita into herself when she was asked to prove her chastity to Lord Ram. ",https://www.holidify.com/images/cmsuploads/square/2018040328-no64609gqwmz0in3pnqmlxegjhe37c285h38hvoih6_20190313151817.jpg,5.6,6.3,400,1,0,1,1,5.8,3.5,7.6,2.5,3.6,4.4,2.3,5.5
3389,Miran Sahib's tomb ,Karnal," Miran Sahibâ€™s tomb celebrates the mystic saint Miran. Syed Mohammed or Miran Sahib was a mystic saint who was hailed for his unique compositions and philanthropy. He rejected all norms of caste and religious discrimination and took up the cause of the poor and downtrodden. When a King took a local Brahmin girl hostage, Miran Sahib is said to have paid an enormous sum of money to retrieve her. Interestingly, only his head is believed to have been buried at Karnal. After he was killed in battle, his body was buried at Muzaffarnagar in neighbouring Uttar Pradesh, while his head was brought to Karnal. The stunning mosque within the tomb complex is worth a visit too. ",https://www.holidify.com/images/cmsuploads/square/miran_pic1_20190313153528.jpg,2.4,4.6,2900,-1,1,0,0,2.6,7.3,4.5,4.7,3.8,5,2.1,2.3
3390,Karnal Cantonment Church Tower ,Karnal," Karnal Cantonment Church Tower is a remnant of the former Colonial rule is built in a Roman style. Formerly a part of St James Church, the major part of the area was dismantled as the cantonment was shifted before independence. The four-storeyed tower can be seen from kilometres away and holds a spectacular ornamental cross on the top. While this a beautiful location for a romantic evening with your significant other, you can also bring your family along for a relaxed picnic. Towering at the height of thirty-five metres, Karnal Cantonment Church Tower is one of the most prominent landmarks of the region. ",https://www.holidify.com/images/cmsuploads/square/1200px-Cantonment_Church_Tower_Karnal_20190313154521.jpg,2.1,4,500,1,1,0,1,2.2,2.6,9.2,8.6,9,4.9,3.1,4.4
3391,Karnal Golf Course ,Karnal," Karnal Golf Course spreads over acres of lush, verdant greens that are perfect for a relaxing break. Overlooking Karnal Lake on one side and Oasis Complex Resort on the other, this golf course is your best bet to ease tensions and get a break from hectic city life. Situated on the banks of the Yamuna Canal, this is one of the most famous international golfing destinations in the country. Steeped in colonial history, Karnal was one of the most popular golfing locations of the British rulers as well. Today it is a significant tourist attraction and hosts tournaments too. ",https://www.holidify.com/images/cmsuploads/square/arrival_golf_club_faridaba_04_20190313155046.jpg,2.2,8.3,1600,-1,1,0,1,4.6,1.6,6.3,3.9,4.6,6.9,2.7,3.8
3392,Atal Park ,Karnal," Atal Park, located in Sector 8 of Karnal city in Haryana is spread over an area of 55 acres, which includes a lake spread of 4 acres as well. It has an open-air gym, an exquisite lily pond, a few fountains which illuminate with led lights in the evening and a childrenâ€™s playground, so it manages to cater to the needs of every age-group. The Park is furnished with anti-skid pathways making it ideal for long strolls along the lake. Atal Park is also famous among the locals as a picnic spot because the greenery of the Park allows one to spend a rejuvenating time, be it with family or friends. ",https://www.holidify.com/images/cmsuploads/square/jbgvg_20190709155749.jpg,4.1,1.3,300,-1,0,1,1,5,7.6,8.9,3.3,7.8,9.5,4.2,6.6
3393,Ujjayanta Palace ,Agartala," Years back, Ujjayanta Palace was a royal palace. Situated at the core of Agartala, the entire hustle-bustle of the city is centered around this palace. Built in 1901, it has magnificent tiled floors, curved wooden ceilings and lovely doors. The name 'Ujjayanta Palace' was given by Rabindranath Tagore,  a regular visitor of Tripura. The State has owns a lineage of an independent royal state. The palace includes the Public halls, Throned room, Durbar Hall, Library, The Chinese Room and The Reception Hall. ",https://www.holidify.com/images/attr_square/1011.jpg,3.3,2.4,1100,1,0,0,1,8.8,3.4,6.4,6.3,3.4,3.5,8.2,1.6
3394,Sepahijala Wildlife Sanctuary ,Agartala," Home to a variety of wildlife especially birds and primates, this place is not just a wildlife sanctuary but also an academic and research centre. Various lakes are present within the sanctuary, where boating facility is available. ",https://www.holidify.com/images/attr_square/1009.jpg,2.2,4.2,3400,1,0,1,0,5.6,6.1,4.9,3.2,6.2,7.4,7.7,1.8
3395,Chittangong Hillss ,Agartala," The picturesque spectacle of the Chittagong hills assaults the senses of each and every onlooker. The hills comprise of mini mountains with multiple valleys and a small canyon, with 7 rivers meandering across the valleys. ",https://www.holidify.com/images/attr_square/1002.jpg,3.9,9.1,3700,0,1,1,1,4.6,4.4,8.1,2.4,4.5,3.6,1.8,2.7
3396,Tripura Sundari Temple ,Agartala," Located in Matabari, 100m east of NH 44, around 55km from Agartala and just 4 km from Udaipur (Tripura), this temple is one of the most famous temple of Tripura. ",https://www.holidify.com/images/cmsuploads/square/41948912_20180301115544.jpg,4.5,4.6,1400,1,1,0,1,7.3,2.9,2.1,4.4,7.7,9.3,3.9,2.4
3397,Neermahal ,Agartala," Standing in the middle of the Rudrasagar Lake, this architectural beauty rightly derives its name which means Water Palace. This place served as a summer resort for King Maharaja Bir Bikram Kishore Manikya in 1930. ",https://www.holidify.com/images/attr_square/1007.jpg,2.9,3.2,1500,1,1,1,1,7.9,5.1,4.8,9.1,5.2,4.5,5.9,1.9
3398,Ummaneshwar Temple ,Agartala," Located within the Ujjayanta palace grounds, this saffron coloured temple is influenced by West Bengali culture. ",https://www.holidify.com/images/attr_square/1012.jpg,5.7,9.9,1700,0,1,1,0,4.8,4.5,4.8,7.8,3.4,8.4,5.7,7.8
3399,Gondacherra Wildlife Sanctuary ,Agartala," This enchanting sanctuary has maintained an untainted habitat for the multiple species of flora and fauna found here. Mammals like tigers, bison, wild horses, aquatic life as well as migratory birds can be seen here. ",https://www.holidify.com/images/attr_square/1003.jpg,3.2,5.3,1900,-1,0,0,1,4.2,3.3,8.1,8,5.7,4.5,2.7,2.9
3400,Jagannath Temple ,Agartala," The Jagannath Temple is built within the Ujjayanta Palace grounds, specially crafted to decorate the Manikya capital city. Islamic style of architecture is predominant in the exterior of this temple, but the interiors are decorated with Hindu splendour. ",https://www.holidify.com/images/cmsuploads/square/attr_1004.jpg,2.7,7.1,2600,0,1,1,1,1.6,7.6,3.1,7.8,3,3.6,2.7,6
3401,Jampui Hill ,Agartala," Also known as the eternal hills of spring, the Jampui hills live up to their name, having pleasant climate all year round, providing ample opportunity for each visitor to take in the beauty that is this place. ",https://www.holidify.com/images/attr_square/1005.jpg,2.8,4.3,300,0,0,0,1,5.1,5.5,6.3,5.6,8.5,3.4,6.3,8.9
3402,Buddha Temple ,Agartala," Evidence to the Buddhist influence on the people of Agartala, the Buddha Temple is an important religious site and was constructed in 1946. ",https://www.holidify.com/images/attr_square/1001.jpg,5.4,3.9,2600,0,1,0,1,3.1,8.3,9,3,9.4,3,7.4,5.2
3403,Kunjaban Palace ,Agartala," Constructed by King Birendra Kishore Manikya in 1917, the Kunjaban Palace is the official residence of the Governor of Tripura. ",https://www.holidify.com/images/attr_square/1006.jpg,2.7,1.5,300,-1,0,1,1,8.1,4.1,3.7,3.6,2.9,9.5,6.6,9.1
3404,Raima Valley ,Agartala," Known as the Mother of the Tribals of Tripura, this lush green valley, decorated with gardens and plantations has become a preferred tourist spot. ",https://www.holidify.com/images/attr_square/1008.jpg,5.1,3.9,1900,1,0,0,0,8.3,9,8.3,2,9,4.1,1.7,7.6
3405,Sri Jagannath Puri Temple ,Puri," Shree Jagannath Puri temple, one of the most majestic monuments of Odisha, was built by a famous king of Ganga Dynasty Ananta Varman Chodaganga Deva. This stunning Vaishnava temple, dating back to 12th century, enshrines Lord Jagannath, Devi Subhadra and Balabhadra. ",https://www.holidify.com/images/cmsuploads/square/attr_3327.jpg,5.5,3.8,2900,1,1,1,1,7.2,3.5,1.6,4.8,5.8,3.9,9.1,8.7
3406,Chilika Lake ,Puri," Chilika Lake is the biggest inland salt-water lake. Situated 50 km away from Puri, this lake is a major tourist attraction in Odisha. Set amidst a beautiful landscape full of lush greenery, the Chilika Lake also has a beautiful island laden with trees. ",https://www.holidify.com/images/cmsuploads/square/709_20190409181326.jpg,2.4,5.1,2000,1,0,0,1,4,9.4,4.5,2.5,7.8,2.3,3.8,7.8
3407,Puri Beach ,Puri," Puri Beach is a fine coastline of Bay of Bengal with sun gleaming on the pristine waters of the beach. Located at a mere distance of 35 kms from the Sun Temple, the place is ideal for holiday makers looking for some solitude. ",https://www.holidify.com/images/cmsuploads/square/shutterstock_734468563_20200312182246_20200312182307.png,2.7,4.5,2500,1,0,1,1,3.3,2.1,3.5,7.6,5.3,6.2,7.2,2.7
3408,Jagannath Rath Yatra ,Puri," Ratha Yatra, or the Chariot Festival, is a Hindu festival associated with the god Jagannath held annually at Puri, in Orrisa, India, celebrated on Ashadha Shukla Dwitiya, the second day in bright fortnight of Ashadha month. The festival commemorates Jagannath's, (another name for Lord Shiva) annual visit to Gundicha Temple via Mausi Maa Temple, which is significant as his aunt's home, near Balagandi Chaka, Puri. As part of Ratha Yatra, the deities of Jagannath, Balabhadra and Subhadra are taken out in a procession to Gundicha Temple, which then stay there for nine days. The deities or Ratha Yatra then are brought back to the Main temple.  ",https://www.holidify.com/images/cmsuploads/square/Puri_Ratha_Yatra_20170509164633.jpg,5.8,4.5,700,1,1,1,0,7.3,7.3,4,3.5,5.8,7.7,8.8,7.7
3409,Narendra Tank ,Puri, Narendra Tank is one of the largest tanks in Odisha and is believed to have been built during the 15th century. This tank is considered holy and has a lot of small and big temples surrounding it. There is an island in the middle of the lake with a small temple called Chandana Mandapa. ,https://www.holidify.com/images/attr_square/3325.jpg,5.5,9,3800,-1,1,0,0,2.5,6,2.7,6.5,8.5,8.2,7,2.9
3410,Lakshmi Temple ,Puri," Situated near the Jagannath Temple, this is a very important temple owing to the beliefs around the history of this structure. It is believed that the marriage of Lord Shiva and Goddess Parvati happened on the sixth day of the fortnight of Jyeshta and they were invited to this temple by Goddess Lakshmi. ",https://www.holidify.com/images/attr_square/3322.gif,5.6,4.9,1900,1,0,1,1,7.2,8.4,6.2,5.4,2.4,1.6,4.5,3.4
3411,Raghurajpur Artist Village ,Puri," Raghurajpur village is a heritage crafts village near Puri, known for Pattachitra paintings, as well as other art forms like palm leaf engraving, wood and stone carvings, papier mache and Gotipua folk dance, the predecessor of classical Odissi dance style. The village is also the only place where the traditional decoration for Lord Jagannath's throne, called Patas, is made. The art-enriched village owes its culture to an era as early as 5 BCE. ",https://www.holidify.com/images/cmsuploads/square/The_Paintings_on_Betel_nut_%2528Areca_nut%2529_by_the_artists_of_Raghurajpur_20190116141720.JPG,4.2,6.5,1500,1,1,0,1,2.1,4.5,4.9,2.2,9.4,7.9,2.2,5.5
3412,Markandeswara Temple ,Puri," Assumed to have been constructed during the 13th century, Markandeswara temple is known for its magnificent architectural and artistic essence. The entrance of the temple is adorned with a figure of Nataraja with ten arms. ",https://www.holidify.com/images/cmsuploads/square/Markandeshwar_Temple_20190207102650.jpg,2.8,5.4,3900,-1,1,0,1,7.2,6.1,5.7,7.2,9.4,5.1,5,6.8
3413,Swargadwar Beach ,Puri," Running along the main Marine Drive of Puri, right in front of the Swargadwar Crematorium, the ever-so-famous beach of Puri is the throbbing heartbeat of the city. Crowded with visitors throughout the year, the Swargadwar Beach is dotted with numerous stalls selling local handmade products, seashells, and jewelleries. A whole morning goes away by splashing and bathing at the safe, sandy beach, while the evenings are kept for enjoying the oceanic view and tea and snacks from the many stalls. ",https://www.holidify.com/images/cmsuploads/square/SwargadwarBeach_20200312183012_20200312183035.jpg,2.5,4.9,2600,1,1,0,1,3.1,5.8,2.3,7.4,9.5,4.3,8.6,5.6
3414,Astaranga Beach ,Puri, Astaranga meaning â€œcolourful sunsetâ€ù is a magnificent beach located in the state of Orissa. As the name suggests this beach is famous for the picturesque views that it provides during the sunset. The sky takes on vivid hues and the blue water in juxtaposition of it makes the whole place look magical. ,https://www.holidify.com/images/cmsuploads/square/45892762-71e4-450d-b58a-d135c685b57b_20180925165631_20180925170036.jpg,2.5,4.7,1900,-1,1,0,0,2.4,6.3,3.8,6.6,9,3.3,5.2,9.1
3415,Vimala Temple ,Puri," Goddess Vimala residing within the complex of Jagannath temple in Puri is as important as the main deity. Regarded as a Shakti Peetha, one of the many shrines scattered around India dedicated to the supreme goddess. Goddess Vimala here is a tantric manifestation of the Goddess Mother and is revered by the Shaktism followers as a protector guardian of the temple and the Lord. ",https://www.holidify.com/images/cmsuploads/square/562674_197643817033157_836780354_n_20190416103040_20190416103124.jpg,4.8,3.9,3400,0,0,0,0,9.3,9.1,1.9,6.9,4.1,9,9.2,7.1
3416,Gundicha Temple ,Puri," Located 3 kilometres away from the main temple complex of Jagannath, the Gundicha Temple acts as the summer retreat for Lord Jagannath, his brother Balarama and sister Subhadra. This temple marks the ending of the Ratha Yatra, where the deities rest for seven days, before making the journey back to their original home. Gundicha temple is empty for the rest of the year, except for the many images depicting the Lord's life. ",https://www.holidify.com/images/cmsuploads/square/Gundicha_temple_puri_20190116141736.JPG,3.6,2,900,-1,0,1,0,8.6,7.9,3.1,4.8,8.4,4.5,3.4,3.6
3417,Sudarshan Crafts Museum ,Puri," The Sudarshan Crafts Museum was established by Sri Sudarshan Sahoo to create a location where artists and art lovers can see the evolution of modern craftsmanship. The museum displays the change that has taken place in traditional sculptures over the decades. The museum has facilities for artists as well, giving them an opportunity to ply their craft in the workroom, and have a showroom to display it. ",https://www.holidify.com/images/cmsuploads/square/Konark-Wheel-Front-View-10ft-2_20190416102027_20190416102046.jpg,5.5,3.8,2100,0,0,0,1,8.7,5.2,4.9,4.1,8.3,2.1,7.4,7.4
3418,Lokanath Temple ,Puri," According to a legend popular in Orissa, long ago, Puri was a centre of Shiva worship. According to this legend, Lord Ramachandra himself installed the Lingam in the Lokanath Temple. ",https://www.holidify.com/images/cmsuploads/square/LoknathTemple_20200220180217_20200220180251.jpg,2.9,4.5,2700,-1,1,0,0,7.8,4,8.9,5.2,4.7,5.8,6,5.5
3419,Ganesh Temple ,Puri," Inside the famous Jagannath temple complex in Puri, is situated a small Ganesh temple, housing an exclusive image of Ganesh known as Natya Ganesh i.e. Dancing Ganesh. ",https://www.holidify.com/images/cmsuploads/square/shutterstock_675091999_20191030102342_20191030102446.jpg,5,1.2,2700,-1,1,1,1,3.8,6.7,4.3,4.3,7.2,7.6,4.4,2.3
3420,Sakshi Gopal Temple ,Puri," Sakshigopal temple has a few legends about how it became a revered shrine for Lord Vishnu. One is about the lord coming to bear witness to a village wedding. Another myth is that the temple is one of the 16 shrines of King Vajra, the grandson of Lord Krishna built for the Lord. Nevertheless, the temple acts as a marking gateway for those who arrive to the holy city of Puri via train or roadway. ",https://www.holidify.com/images/cmsuploads/square/1920px-Sakhigopal_chandan_yatra_20190416102348_20190416102410.jpg,3.6,7.2,2700,-1,1,0,1,6,6.6,2.6,8.4,9.4,7.9,2.6,2.9
3421,Alarnatha Temple ,Puri," Alarnatha Temple is a shrine dedicated to Lord Vishnu in Brahmagiri near Puri. The legend says that the Lord's devoted follower Chaitanya Mahaprabhu could not see his God for the 15-day period of Anavasara, following the Snana Yatra, when the three idols of Jagannath temple are kept hidden in a secret chamber. Taking pity on his beloved worshipper's devastation, Lord Vishnu directed him towards the Alarnatha Temple. Every devotee ever since follows the same ritual during that phase. ",https://www.holidify.com/images/cmsuploads/square/14845096208_37eb39dd95_b_20190116141733.jpg,5.7,3.7,2800,1,1,0,1,2.1,6.6,2.7,4.9,8.8,9.5,5.8,7.1
3422,Baliharachandi Beach ,Puri," Baliharachandi Beach is the much quieter and offbeat alternative to the Puri Beach, with a peaceful calm and tranquillity about the whole place. There are not many people here, and even fewer stalls. Since the beach falls between Puri and Konark, visitors take a round on the way. Scurrying little crabs, scattered seashells and an unobstructed view of the sea make up for the lack of other entertainment. ",https://www.holidify.com/images/cmsuploads/square/shutterstock_140179663_20200312181619_20200312181640.jpg,4.3,2.3,1700,1,0,0,1,5.5,2.1,7.9,3.8,1.7,2.8,5,8.4
3423,Daya River ,Puri," Daya River is a branch shooting of Kuakhai River and empties into the Chilika Lake known for the Dolphins. The river is historically important, not only in terms of the history of Odisha-Bihar region, but of India as whole. It is on the banks of Daya, in the green slopes adjoining the Dhauli Hills that the famous Kalinga War was fought, which marked an end of Emperor Ashoka's violent ways and embracing Buddhism. There are many Ashokan edicts here, carved on the surface of rocks up along the hill. ",https://www.holidify.com/images/cmsuploads/square/Kalinga_battlefield_daya_river_dhauli_hills_20190116141744.jpg,5.6,9.6,1700,0,0,1,0,6.7,8.6,7.1,7.9,1.8,6.4,6.2,4.2
3424,Baleshwar Beach ,Puri," Baleshwar Beach, or Chandipur Beach as it is more popularly known, is one of the less crowded and more serene beaches of Odisha. What makes this beach unique is its tide pattern. During particular ebb tides, the sea water recedes back from the sandy beach for up to 5 kilometres, leaving muddy traits behind. Because of this, this beach is ecologically rich and also great place to find molluscs, crustaceans and horseshoe crabs. ",https://www.holidify.com/images/cmsuploads/square/BaleshwarBeach_20200312183901_20200312183919.jpg,5.6,6.2,2800,-1,1,1,0,3.3,8.9,2.6,9.3,8.8,2.7,3.6,2.3
3425,Sonar Gouranga Mandir ,Puri," Sonar Gouranga Mandir in Puri is one of the main centres of pilgrimage. It is located near the Puri Jagannath Temple, only three kilometres away, and close to the beach. The temple has the shrines of Shri Rama, Lord Jagannatha, Balaram and Subhadra, while also including other incarnations of Lord Vishnu. Located on the Chakratritha Road, photography is prohibited within the temple. ",https://www.holidify.com/images/cmsuploads/square/491460746_1046922840_20190416102245_20190416102305.jpg,5.6,7.4,300,1,1,0,0,7.7,6.6,7.2,5.6,2.6,7.1,9,7.8
3426,Balighai Beach ,Puri," Balighai beach is all about serenity and quietude that you will hardly find in the other beaches near Puri, The luxury resorts make sure that you can make this a destination getaway instead of a drive-through, and at the same time enjoy the tranquil environment of a clean environment and solitude, surrounded by Casuarina and Eucalyptus, and the azure blue up ahead. ",https://www.holidify.com/images/cmsuploads/square/shutterstock_1635868051_20200312182013_20200312182033.jpg,4.8,5.3,3100,-1,1,1,1,9.2,4.5,4,8.1,6,8.5,8.5,8.2
3427,Pipili ,Puri," Pipili is a town in Puri, famous for the abundant handicraft products which are available here for sale. The entire economy depends on the crafts, and they provide all sorts of products. Figures of Gods, animals, birds, flowers etc., pillow covers, sheets, handbags, purses are all of the best quality here. The town itself has numerous food stalls to sate hunger in between shopping. ",https://www.holidify.com/images/cmsuploads/square/6026452304_719e143fa2_b_20190416101656_20190416101834.jpg,4.9,8.1,3100,-1,1,0,0,2.3,5.4,9.3,2.7,3.1,9.1,5.8,4.6
3428,Mausima Temple ,Puri," The Mausima Temple is located on the Grand Road in Puri. The name of the temple translates to 'Aunt Mother' and is closely related to the tradition of Rath Yatra which is so famously prevalent here. The legend says that Goddess Mausi Ma saved Puri from floods by drinking half of the sea water. The temple itself has strong fortress-like walls and intricate architecture, representing safety. ",https://www.holidify.com/images/cmsuploads/square/MausimaTemple_20200221181134_20200221181153.jpeg,4.3,1.5,2600,-1,0,1,1,2.6,4.4,6.2,3.8,3.3,6.5,5.7,4.1
3429,Golden Beach ,Puri," Located at a distance of 20 kms from Puri, Golden Beach is a pristine, laid back beach away from the din of the city. On a little diversion on the highway leading to Konark, you can come across this wonderful beach free of the crowds and regular pilgrims. The beach is untouched and desolated and boasts of a perfectly peaceful environment with only the crashing of sea waves to give you company. ",https://www.holidify.com/images/cmsuploads/square/Golden_beach_of_puri_20181016203230_20181016203628.jpg,5.9,9.4,1200,-1,1,0,0,9.3,5,3.9,5.8,6.6,8.5,4.5,5.2
3430,Blue Splash Water Park ,Puri," Spread over eight acres of land area, Blue Splash Water Park boasts of over seven massive water rides spread over variety of pools. Besides it has an adjacent amusement park, play area for children, snacks facility, changing and locker rooms etc. ",https://www.holidify.com/images/cmsuploads/square/c_20181118145655_20181118150047.PNG,4.9,8.8,1100,-1,1,0,0,2.9,7,2.1,3.1,3.6,7.9,4.3,5.5
3431,Pratyush Ocean World ,Puri," Pratyush Ocean World Water Park is situated in Batamangala New Bay Pass Road in Puri. Besides the umpteen rides and water activities, the park also has several food options available for the visitors. In addition to that, the park also hosts family functions, events and gatherings on prior reservations. ",https://www.holidify.com/images/cmsuploads/square/d_20181118150347_20181118150708.PNG,4.4,7.1,900,-1,0,1,0,5.3,3.1,3.1,7.8,1.9,5.1,6,4.8
3432,Nalbana Bird Sanctuary ,Puri," Nalbana Bird Sanctuary is situated on the Nalbana Island in Odisha, which is a part of the Chilika Lake- Indiaâ€™s largest brackish water lagoon. It is known for the large green spaces of land that are the refuge points of several migratory birds that flock here every year during the winter season. For the same reason, the sanctuary is a big hit among nature lover, birdwatchers and photography buffs. During the peak season, you may be able to spot as much as 181 different varieties of birds here which is a treat for the avid bird watchers. ",https://www.holidify.com/images/cmsuploads/square/Untitled_20191122125151.png,4,8.9,2600,-1,0,1,0,8.6,6.7,4.4,9,3.3,6.1,9,9.3
3433,Mannavanur ,Dindigul," Mannavanur is a serene farming village in Dindigul District, Tamil Nadu - 35km away from Kodaikanal. This quaint village has terrace farms that are cut into the hill slopes. It offers nature-lovers a chance to experience the farm life, especially spotting rabbits, sheep and other animals. The Mannavanur Lake adds tranquillity to this picturesque town. This is also a stop on many trekking routes in the area.  ",https://www.holidify.com/images/cmsuploads/square/800px-Mannavanur_Lake_20200221160408.jpg,3.7,7.2,1400,1,1,1,0,2.8,5.3,2.9,7.6,8.5,4.8,2.7,3.3
